time,operation,density,target_density,current_operation,source
28871514,iPSGetImage,0.326611475098737,0.3,iPSPassage,sample/step_current/experiments/IPSExperiment_iPS_Experiment_3_shared_variable_history.csv
28884503,iPSGetImage,0.2229673879188266,0.3,iPSPassage,sample/step_current/experiments/IPSExperiment_iPS_Experiment_3_shared_variable_history.csv
28868290,HEKGetImage,0.8474373925683556,0.8,HEKPassage,sample/step_current/experiments/HEKExperiment_HEK_Experiment_3_shared_variable_history.csv
28871364,HEKGetImage,0.786985705751067,0.8,HEKPassage,sample/step_current/experiments/HEKExperiment_HEK_Experiment_3_shared_variable_history.csv
28873501,HEKGetImage,0.2528680963676663,0.4,HEKSampling,sample/step_current/experiments/HEKExperiment_HEK_Experiment_3_shared_variable_history.csv
28871918,iPSGetImage,0.3553661932399831,0.3,iPSPassage,sample/step_current/experiments/IPSExperiment_iPS_Experiment_2_shared_variable_history.csv
28884708,iPSGetImage,0.3331983401848791,0.3,iPSPassage,sample/step_current/experiments/IPSExperiment_iPS_Experiment_2_shared_variable_history.csv
28899421,iPSGetImage,0.340351117204973,0.3,iPSSampling,sample/step_current/experiments/IPSExperiment_iPS_Experiment_2_shared_variable_history.csv
28867999,HEKGetImage,0.7462264341002827,0.8,HEKPassage,sample/step_current/experiments/HEKExperiment_HEK_Experiment_2_shared_variable_history.csv
28871671,HEKGetImage,0.8419024692816636,0.8,HEKPassage,sample/step_current/experiments/HEKExperiment_HEK_Experiment_2_shared_variable_history.csv
28874941,HEKGetImage,0.5245370481125285,0.4,HEKSampling,sample/step_current/experiments/HEKExperiment_HEK_Experiment_2_shared_variable_history.csv
28870286,iPSGetImage,0.297311842835746,0.3,iPSPassage,sample/step_current/experiments/IPSExperiment_iPS_Experiment_1_shared_variable_history.csv
28868220,HEKGetImage,0.8569162638649548,0.8,HEKPassage,sample/step_current/experiments/HEKExperiment_HEK_Experiment_1_shared_variable_history.csv
28871283,HEKGetImage,0.7849418852544995,0.8,HEKPassage,sample/step_current/experiments/HEKExperiment_HEK_Experiment_1_shared_variable_history.csv
28873808,HEKGetImage,0.3469752581947682,0.4,HEKSampling,sample/step_current/experiments/HEKExperiment_HEK_Experiment_1_shared_variable_history.csv
28871182,iPSGetImage,0.4054746567946729,0.3,iPSPassage,sample/step_current/experiments/IPSExperiment_iPS_Experiment_4_shared_variable_history.csv
28897435,iPSGetImage,0.2453696493079609,0.3,iPSPassage,sample/step_current/experiments/IPSExperiment_iPS_Experiment_4_shared_variable_history.csv
28910941,iPSGetImage,0.2891348565965139,0.3,iPSSampling,sample/step_current/experiments/IPSExperiment_iPS_Experiment_4_shared_variable_history.csv
28868360,HEKGetImage,0.8507890179267821,0.8,HEKPassage,sample/step_current/experiments/HEKExperiment_HEK_Experiment_4_shared_variable_history.csv
28871769,HEKGetImage,0.7923474931140505,0.8,HEKPassage,sample/step_current/experiments/HEKExperiment_HEK_Experiment_4_shared_variable_history.csv
28874982,HEKGetImage,0.4875280349814724,0.4,HEKSampling,sample/step_current/experiments/HEKExperiment_HEK_Experiment_4_shared_variable_history.csv
28870059,iPSGetImage,0.386829415659127,0.3,iPSPassage,sample/step_current/experiments/IPSExperiment_iPS_Experiment_0_shared_variable_history.csv
28887225,iPSGetImage,0.2884785366151715,0.3,iPSPassage,sample/step_current/experiments/IPSExperiment_iPS_Experiment_0_shared_variable_history.csv
28902301,iPSGetImage,0.3537940646222782,0.3,iPSSampling,sample/step_current/experiments/IPSExperiment_iPS_Experiment_0_shared_variable_history.csv
28868430,HEKGetImage,0.8547335167746807,0.8,HEKPassage,sample/step_current/experiments/HEKExperiment_HEK_Experiment_0_shared_variable_history.csv
28871602,HEKGetImage,0.8842168750452413,0.8,HEKPassage,sample/step_current/experiments/HEKExperiment_HEK_Experiment_0_shared_variable_history.csv
28873536,HEKGetImage,0.3252352689863265,0.4,HEKSampling,sample/step_current/experiments/HEKExperiment_HEK_Experiment_0_shared_variable_history.csv
