well,R,G,B,column,row,Color1_ratio,Color2_ratio,Color3_ratio,tag
A9,166.0,112.5,37.5,9,A,0.2,0.3,0.5,Target
A10,154.0,105.5,37.0,10,A,0.2,0.3,0.5,Target
A11,152.0,105.5,31.0,11,A,0.2,0.3,0.5,Target
A12,150.0,101.5,35.0,12,A,0.2,0.3,0.5,Target
B9,133.0,101.5,51.0,9,B,0.2,0.3,0.5,Target
B10,135.5,100.0,40.0,10,B,0.2,0.3,0.5,Target
B11,121.5,97.5,39.5,11,B,0.2,0.3,0.5,Target
B12,120.0,91.0,39.5,12,B,0.2,0.3,0.5,Target
C9,177.5,121.0,49.5,9,C,0.2,0.3,0.5,Target
C10,153.5,105.0,43.0,10,C,0.2,0.3,0.5,Target
C11,126.5,97.0,36.5,11,C,0.2,0.3,0.5,Target
C12,150.5,105.0,37.0,12,C,0.2,0.3,0.5,Target
D9,181.0,128.5,49.0,9,D,0.2,0.3,0.5,Target
D10,173.5,126.0,46.0,10,D,0.2,0.3,0.5,Target
D11,182.5,123.0,47.5,11,D,0.2,0.3,0.5,Target
D12,165.5,108.5,36.5,12,D,0.2,0.3,0.5,Target
E9,180.0,120.0,45.5,9,E,0.2,0.3,0.5,Target
E10,153.0,116.5,47.0,10,E,0.2,0.3,0.5,Target
E11,171.5,122.0,42.5,11,E,0.2,0.3,0.5,Target
E12,168.0,114.5,36.0,12,E,0.2,0.3,0.5,Target
F9,153.5,111.5,58.5,9,F,0.2,0.3,0.5,Target
F10,165.0,128.5,66.5,10,F,0.2,0.3,0.5,Target
F11,186.5,133.5,54.0,11,F,0.2,0.3,0.5,Target
F12,182.5,122.5,49.5,12,F,0.2,0.3,0.5,Target
G9,192.0,134.0,49.5,9,G,0.2,0.3,0.5,Target
G10,196.0,135.0,49.0,10,G,0.2,0.3,0.5,Target
G11,196.0,133.5,48.0,11,G,0.2,0.3,0.5,Target
G12,180.5,129.0,55.0,12,G,0.2,0.3,0.5,Target
H9,174.0,120.0,39.5,9,H,0.2,0.3,0.5,Target
H10,180.5,127.0,45.0,10,H,0.2,0.3,0.5,Target
H11,158.5,126.5,62.0,11,H,0.2,0.3,0.5,Target
H12,178.5,121.0,41.0,12,H,0.2,0.3,0.5,Target
