well,R,G,B,column,row,Color1_ratio,Color2_ratio,Color3_ratio,tag,time
A1,209.5,142.0,66.5,1,A,0.2,0.3,0.5,Target,
A2,196.0,135.0,54.0,2,A,0.2,0.3,0.5,Target,
A3,185.5,120.5,50.5,3,A,0.2,0.3,0.5,Target,
A4,101.5,91.0,53.0,4,A,0.2,0.3,0.5,Target,
B1,228.0,144.0,52.0,1,B,0.2,0.3,0.5,Target,
B2,152.5,120.5,55.0,2,B,0.2,0.3,0.5,Target,
B3,116.5,107.5,59.0,3,B,0.2,0.3,0.5,Target,
B4,153.5,111.5,38.0,4,B,0.2,0.3,0.5,Target,
C1,154.5,121.0,62.5,1,C,0.2,0.3,0.5,Target,
C2,155.5,121.5,56.0,2,C,0.2,0.3,0.5,Target,
C3,114.5,101.5,54.0,3,C,0.2,0.3,0.5,Target,
C4,166.5,119.5,44.5,4,C,0.2,0.3,0.5,Target,
D1,118.0,106.5,61.0,1,D,0.2,0.3,0.5,Target,
D2,217.5,141.0,49.0,2,D,0.2,0.3,0.5,Target,
D3,173.0,120.5,50.5,3,D,0.2,0.3,0.5,Target,
D4,149.5,117.5,57.5,4,D,0.2,0.3,0.5,Target,
E1,149.5,124.5,64.0,1,E,0.2,0.3,0.5,Target,
E2,128.0,110.0,58.5,2,E,0.2,0.3,0.5,Target,
E3,135.0,111.0,55.5,3,E,0.2,0.3,0.5,Target,
E4,169.0,124.5,51.5,4,E,0.2,0.3,0.5,Target,
F1,175.0,130.5,66.5,1,F,0.2,0.3,0.5,Target,
F2,158.5,128.0,66.0,2,F,0.2,0.3,0.5,Target,
F3,126.5,114.0,63.0,3,F,0.2,0.3,0.5,Target,
F4,155.0,120.0,46.5,4,F,0.2,0.3,0.5,Target,
G1,177.5,137.5,66.0,1,G,0.2,0.3,0.5,Target,
G2,178.0,133.5,50.5,2,G,0.2,0.3,0.5,Target,
G3,132.5,113.0,55.5,3,G,0.2,0.3,0.5,Target,
G4,132.5,116.5,63.0,4,G,0.2,0.3,0.5,Target,
H1,161.5,127.0,56.0,1,H,0.2,0.3,0.5,Target,
H2,170.0,129.0,58.0,2,H,0.2,0.3,0.5,Target,
H3,173.0,131.0,69.5,3,H,0.2,0.3,0.5,Target,
H4,165.0,123.5,55.5,4,H,0.2,0.3,0.5,Target,
A5,113.5,94.5,51.5,5,A,0.2,0.3,0.5,Target,
A6,150.0,108.0,40.0,6,A,0.2,0.3,0.5,Target,
A7,159.0,114.0,37.5,7,A,0.2,0.3,0.5,Target,
A8,153.5,106.0,33.5,8,A,0.2,0.3,0.5,Target,
B5,115.0,105.0,55.5,5,B,0.2,0.3,0.5,Target,
B6,144.0,115.0,53.5,6,B,0.2,0.3,0.5,Target,
B7,159.0,115.0,42.5,7,B,0.2,0.3,0.5,Target,
B8,117.5,94.0,45.5,8,B,0.2,0.3,0.5,Target,
C5,126.5,98.5,41.0,5,C,0.2,0.3,0.5,Target,
C6,179.5,116.0,39.0,6,C,0.2,0.3,0.5,Target,
C7,155.5,107.5,36.5,7,C,0.2,0.3,0.5,Target,
C8,167.5,115.0,39.5,8,C,0.2,0.3,0.5,Target,
D5,163.0,115.5,44.0,5,D,0.2,0.3,0.5,Target,
D6,172.0,121.0,42.5,6,D,0.2,0.3,0.5,Target,
D7,177.0,132.0,54.0,7,D,0.2,0.3,0.5,Target,
D8,167.5,123.5,48.5,8,D,0.2,0.3,0.5,Target,
E5,140.5,114.0,45.0,5,E,0.2,0.3,0.5,Target,
E6,166.5,123.0,44.5,6,E,0.2,0.3,0.5,Target,
E7,163.5,123.5,55.5,7,E,0.2,0.3,0.5,Target,
E8,176.5,127.5,50.5,8,E,0.2,0.3,0.5,Target,
F5,188.0,133.5,59.5,5,F,0.2,0.3,0.5,Target,
F6,157.5,121.5,64.0,6,F,0.2,0.3,0.5,Target,
F7,170.0,129.5,49.5,7,F,0.2,0.3,0.5,Target,
F8,193.5,131.0,47.0,8,F,0.2,0.3,0.5,Target,
G5,170.0,125.0,53.5,5,G,0.2,0.3,0.5,Target,
G6,137.5,109.0,56.0,6,G,0.2,0.3,0.5,Target,
G7,141.5,118.5,54.5,7,G,0.2,0.3,0.5,Target,
G8,191.0,132.0,51.5,8,G,0.2,0.3,0.5,Target,
H5,148.5,115.0,55.0,5,H,0.2,0.3,0.5,Target,
H6,167.5,121.5,39.0,6,H,0.2,0.3,0.5,Target,
H7,167.5,123.5,57.5,7,H,0.2,0.3,0.5,Target,
H8,175.0,127.0,53.5,8,H,0.2,0.3,0.5,Target,
A9,166.0,112.5,37.5,9,A,0.2,0.3,0.5,Target,
A10,154.0,105.5,37.0,10,A,0.2,0.3,0.5,Target,
A11,152.0,105.5,31.0,11,A,0.2,0.3,0.5,Target,
A12,150.0,101.5,35.0,12,A,0.2,0.3,0.5,Target,
B9,133.0,101.5,51.0,9,B,0.2,0.3,0.5,Target,
B10,135.5,100.0,40.0,10,B,0.2,0.3,0.5,Target,
B11,121.5,97.5,39.5,11,B,0.2,0.3,0.5,Target,
B12,120.0,91.0,39.5,12,B,0.2,0.3,0.5,Target,
C9,177.5,121.0,49.5,9,C,0.2,0.3,0.5,Target,
C10,153.5,105.0,43.0,10,C,0.2,0.3,0.5,Target,
C11,126.5,97.0,36.5,11,C,0.2,0.3,0.5,Target,
C12,150.5,105.0,37.0,12,C,0.2,0.3,0.5,Target,
D9,181.0,128.5,49.0,9,D,0.2,0.3,0.5,Target,
D10,173.5,126.0,46.0,10,D,0.2,0.3,0.5,Target,
D11,182.5,123.0,47.5,11,D,0.2,0.3,0.5,Target,
D12,165.5,108.5,36.5,12,D,0.2,0.3,0.5,Target,
E9,180.0,120.0,45.5,9,E,0.2,0.3,0.5,Target,
E10,153.0,116.5,47.0,10,E,0.2,0.3,0.5,Target,
E11,171.5,122.0,42.5,11,E,0.2,0.3,0.5,Target,
E12,168.0,114.5,36.0,12,E,0.2,0.3,0.5,Target,
F9,153.5,111.5,58.5,9,F,0.2,0.3,0.5,Target,
F10,165.0,128.5,66.5,10,F,0.2,0.3,0.5,Target,
F11,186.5,133.5,54.0,11,F,0.2,0.3,0.5,Target,
F12,182.5,122.5,49.5,12,F,0.2,0.3,0.5,Target,
G9,192.0,134.0,49.5,9,G,0.2,0.3,0.5,Target,
G10,196.0,135.0,49.0,10,G,0.2,0.3,0.5,Target,
G11,196.0,133.5,48.0,11,G,0.2,0.3,0.5,Target,
G12,180.5,129.0,55.0,12,G,0.2,0.3,0.5,Target,
H9,174.0,120.0,39.5,9,H,0.2,0.3,0.5,Target,
H10,180.5,127.0,45.0,10,H,0.2,0.3,0.5,Target,
H11,158.5,126.5,62.0,11,H,0.2,0.3,0.5,Target,
H12,178.5,121.0,41.0,12,H,0.2,0.3,0.5,Target,
,,,,,,,,,,29161480.0
A1,237.5,158.0,63.0,1,A,0.3965052198299322,0.4959140327566511,0.1075807474134167,Sample,
A2,245.0,162.5,63.0,2,A,0.3965052198299322,0.4959140327566511,0.1075807474134167,Sample,
A3,244.0,159.0,73.5,3,A,0.3965052198299322,0.4959140327566511,0.1075807474134167,Sample,
A4,239.5,167.5,81.0,4,A,0.3965052198299322,0.4959140327566511,0.1075807474134167,Sample,
B1,232.0,133.5,43.0,1,B,0.293332436471485,0.0982334028794073,0.6084341606491075,Sample,
B2,246.0,141.0,49.0,2,B,0.293332436471485,0.0982334028794073,0.6084341606491075,Sample,
B3,238.0,129.0,37.5,3,B,0.293332436471485,0.0982334028794073,0.6084341606491075,Sample,
B4,242.0,140.0,48.5,4,B,0.293332436471485,0.0982334028794073,0.6084341606491075,Sample,
C1,242.0,143.5,46.0,1,C,0.4377950876341948,0.2544875057883123,0.3077174065774928,Sample,
C2,243.5,146.0,43.0,2,C,0.4377950876341948,0.2544875057883123,0.3077174065774928,Sample,
C3,240.0,146.5,50.0,3,C,0.4377950876341948,0.2544875057883123,0.3077174065774928,Sample,
C4,239.0,145.0,49.0,4,C,0.4377950876341948,0.2544875057883123,0.3077174065774928,Sample,
D1,238.0,151.5,80.0,1,D,0.5900868277010465,0.3664702172362707,0.0434429550626828,Sample,
D2,237.0,147.0,68.5,2,D,0.5900868277010465,0.3664702172362707,0.0434429550626828,Sample,
D3,236.0,152.0,90.0,3,D,0.5900868277010465,0.3664702172362707,0.0434429550626828,Sample,
D4,241.0,151.0,86.0,4,D,0.5900868277010465,0.3664702172362707,0.0434429550626828,Sample,
E1,229.0,125.5,52.5,1,E,0.5917547974013039,0.006079049031961,0.4021661535667351,Sample,
E2,228.0,120.5,39.0,2,E,0.5917547974013039,0.006079049031961,0.4021661535667351,Sample,
E3,234.0,125.0,42.0,3,E,0.5917547974013039,0.006079049031961,0.4021661535667351,Sample,
E4,235.0,124.0,39.0,4,E,0.5917547974013039,0.006079049031961,0.4021661535667351,Sample,
F1,236.5,148.5,52.5,1,F,0.361863082368355,0.4507171878318876,0.1874197297997573,Sample,
F2,235.0,154.0,54.5,2,F,0.361863082368355,0.4507171878318876,0.1874197297997573,Sample,
F3,241.5,155.0,52.5,3,F,0.361863082368355,0.4507171878318876,0.1874197297997573,Sample,
F4,239.0,158.5,58.0,4,F,0.361863082368355,0.4507171878318876,0.1874197297997573,Sample,
G1,134.0,135.5,79.0,1,G,0.3081424639898819,0.4319759603179953,0.2598815756921226,Sample,
G2,224.0,148.0,50.0,2,G,0.3081424639898819,0.4319759603179953,0.2598815756921226,Sample,
G3,221.0,143.0,53.0,3,G,0.3081424639898819,0.4319759603179953,0.2598815756921226,Sample,
G4,209.5,140.0,49.5,4,G,0.3081424639898819,0.4319759603179953,0.2598815756921226,Sample,
H1,232.0,144.0,50.0,1,H,0.3007807664214365,0.365203800291329,0.3340154332872345,Sample,
H2,239.5,149.5,58.0,2,H,0.3007807664214365,0.365203800291329,0.3340154332872345,Sample,
H3,230.0,144.5,58.0,3,H,0.3007807664214365,0.365203800291329,0.3340154332872345,Sample,
H4,227.0,148.0,55.0,4,H,0.3007807664214365,0.365203800291329,0.3340154332872345,Sample,
,,,,,,,,,,29161537.0
